id,year,hhi
"6110003",2000,5432.526
"6110003",2001,5570.987
"6110003",2002,5080.625
"6110003",2003,5108.467
"6110003",2004,5108.467
"6110003",2005,5108.467
"6110003",2006,5108.467
"6110003",2007,5108.467
"6110003",2008,5108.467
"6110003",2009,5316.766
"6110003",2010,5316.766
"6110003",2011,5316.766
"6110003",2012,5316.766
"6110003",2013,5316.766
"6110003",2014,5316.766
"6110003",2015,5329.62
"6110003",2016,10000
"6110003",2017,10000
"6110003",2018,10000
"6110003",2019,10000
"6110003",2020,10000
"6110003",2021,10000
"6110003",2022,10000
"6110003",2023,10000
"6110003",2024,10000
"6110003",2025,10000
"6110005",2000,8189.025
"6110005",2001,8189.025
"6110005",2002,8189.025
"6110005",2003,8189.025
"6110005",2004,8060.067
"6110005",2005,8060.067
"6110005",2006,8060.067
"6110005",2007,8123.92
"6110005",2008,8123.92
"6110005",2009,8123.92
"6110005",2010,8123.92
"6110005",2011,8123.92
"6110005",2012,8123.92
"6110005",2013,8835.96
"6110005",2014,8835.96
"6110005",2015,8720.042
"6110005",2016,8720.042
"6110005",2017,8720.042
"6110005",2018,8720.042
"6110005",2019,8720.042
"6110005",2020,8720.042
"6110005",2021,8570.72
"6110005",2022,8570.72
"6110005",2023,8424.495
"6110005",2024,8424.495
"6110005",2025,8424.495
"6110008",2000,6878.727
"6110008",2001,6768.856
"6110008",2002,6785.91
"6110008",2003,6783.178
"6110008",2004,6842.352
"6110008",2005,6845.139
"6110008",2006,6845.139
"6110008",2007,6864.531
"6110008",2008,6864.531
"6110008",2009,7071.687
"6110008",2010,7037.267
"6110008",2011,7002.096
"6110008",2012,7239.637
"6110008",2013,7217.209
"6110008",2014,7227.219
"6110008",2015,7588.998
"6110008",2016,8026.536
"6110008",2017,8026.536
"6110008",2018,8026.536
"6110008",2019,8227.279
"6110008",2020,8227.279
"6110008",2021,8192.123
"6110008",2022,8700.186
"6110008",2023,8836.937
"6110008",2024,8836.937
"6110008",2025,8836.937
"6110050",2000,6833.961
"6110050",2001,6984.223
"6110050",2002,6782.775
"6110050",2003,6782.775
"6110050",2004,6759.552
"6110050",2005,6805.705
"6110050",2006,6811.393
"6110050",2007,6872.776
"6110050",2008,6872.776
"6110050",2009,6872.776
"6110050",2010,6872.776
"6110050",2011,6872.776
"6110050",2012,6916.1
"6110050",2013,6953.125
"6110050",2014,6937.356
"6110050",2015,6937.356
"6110050",2016,6968.747
"6110050",2017,7059.479
"6110050",2018,7059.479
"6110050",2019,7093.426
"6110050",2020,7136.019
"6110050",2021,7273.547
"6110050",2022,7032.566
"6110050",2023,7006.511
"6110050",2024,7006.511
"6110050",2025,7006.511
"6110070",2000,6833.961
"6110070",2001,6984.223
"6110070",2002,6782.775
"6110070",2003,6782.775
"6110070",2004,6759.552
"6110070",2005,6805.705
"6110070",2006,6811.393
"6110070",2007,6872.776
"6110070",2008,6872.776
"6110070",2009,6872.776
"6110070",2010,6872.776
"6110070",2011,6872.776
"6110070",2012,6916.1
"6110070",2013,6953.125
"6110070",2014,6937.356
"6110070",2015,6937.356
"6110070",2016,6968.747
"6110070",2017,7059.479
"6110070",2018,7059.479
"6110070",2019,7093.426
"6110070",2020,7136.019
"6110070",2021,7273.547
"6110070",2022,7032.566
"6110070",2023,7006.511
"6110070",2024,7006.511
"6110070",2025,7006.511
"6110090",2000,10000
"6110090",2001,10000
"6110090",2002,10000
"6110090",2003,10000
"6110090",2004,10000
"6110090",2005,10000
"6110090",2006,10000
"6110090",2007,10000
"6110090",2008,10000
"6110090",2009,10000
"6110090",2010,10000
"6110090",2011,10000
"6110090",2012,10000
"6110090",2013,10000
"6110090",2014,10000
"6110090",2015,10000
"6110090",2016,10000
"6110090",2017,10000
"6110090",2018,10000
"6110090",2019,10000
"6110090",2020,10000
"6110090",2021,10000
"6110090",2022,10000
"6110090",2023,10000
"6110090",2024,10000
"6110090",2025,10000
"6110120",2000,10000
"6110120",2001,10000
"6110120",2002,10000
"6110120",2003,10000
"6110120",2004,10000
"6110120",2005,10000
"6110120",2006,10000
"6110120",2007,10000
"6110120",2008,10000
"6110120",2009,10000
"6110120",2010,10000
"6110120",2011,10000
"6110120",2012,10000
"6110120",2013,10000
"6110120",2014,10000
"6110120",2015,10000
"6110120",2016,10000
"6110120",2017,10000
"6110120",2018,10000
"6110120",2019,10000
"6110120",2020,10000
"6110120",2021,10000
"6110120",2022,10000
"6110120",2023,10000
"6110120",2024,10000
"6110120",2025,10000
"6110150",2000,5496.341
"6110150",2001,5496.341
"6110150",2002,5496.341
"6110150",2003,5496.341
"6110150",2004,5496.341
"6110150",2005,5496.341
"6110150",2006,5496.341
"6110150",2007,5496.341
"6110150",2008,5496.341
"6110150",2009,5525.931
"6110150",2010,5614.775
"6110150",2011,5496.341
"6110150",2012,5496.341
"6110150",2013,5496.341
"6110150",2014,5619.917
"6110150",2015,10000
"6110150",2016,10000
"6110150",2017,10000
"6110150",2018,10000
"6110150",2019,10000
"6110150",2020,10000
"6110150",2021,10000
"6110150",2022,10000
"6110150",2023,10000
"6110150",2024,10000
"6110150",2025,10000
"6110160",2000,10000
